"","ID","Intercept","umol.L.sec","Temp.C"
"819","G7_AL_24C_O2",237.448110769231,0.0581644947209655,24.2490784313725
"820","G7_AL_26C_O2",219.014494202627,0.0512254971857412,26.1447222222222
"821","G7_AL_28C_O2",214.371185877551,0.0504019795918366,28.1019814814815
"822","G7_AL_30C_O2",207.551005772358,0.0382506066291431,29.9503544303797
"823","G7_AL_32C_O2",194.577292395229,0.0354286902286902,32.1678431372549
"824","G7_AL_34C_O2",175.847852862745,0.0288734117647059,33.799527027027
"825","G7_AL_36C_O2",150.013126088726,0.0058653642653643,35.7995384615385
"826","G7_AL_39C_O2",134.914336344086,-0.0256363440860215,39.0544
"827","G7_AL_42C_O2",80.8377019235836,-0.0271350373298199,42.19172
"828","G7_ND_16C_O2",205.781217052112,-0.0137606460067839,15.9811515151515
"829","G7_ND_20C_O2",196.659517489178,-0.0198205194805195,20.1901538461538
"830","G7_ND_22C_O2",213.477642943723,-0.0201663203463204,21.8949824561404
"831","G7_ND_24C_O2",202.305684453441,-0.0197594197031039,24.1109285714286
"832","G7_ND_26C_O2",184.503797271045,-0.0207467391304348,25.9864827586207
"833","G7_ND_28C_O2",171.343058727746,-0.0207516825879288,28.0849821428571
"834","G7_ND_30C_O2",159.127162995622,-0.0224476110068793,30.1096037735849
"835","G7_ND_32C_O2",113.542234154351,-0.0188917898193761,31.9491041666667
"836","G7_ND_34C_O2",143.115374384236,-0.0256650246305419,33.9123636363636
"837","G7_ND_36C_O2",137.881051652661,-0.0183062745098038,36.0421219512195
"838","G7_ND_39C_O2",33.3559474202899,-0.0463295942028986,39.070375
"839","G7_ND_42C_O2",84.0252153846154,-0.00240219780219767,43.4672307692308
"840","G7_NL_16C_O2",256.244251669086,0.0321670537010159,16.3839814814815
"841","G7_NL_20C_O2",236.075127109567,0.0412673035171515,19.9729811320755
"842","G7_NL_22C_O2",213.880176440031,0.0560362414056531,22.1348510638298
"843","G7_NL_24C_O2",208.347355265701,0.0513162318840578,24.0709259259259
"844","G7_NL_26C_O2",213.071824390244,0.054993808630394,26.068679245283
"845","G7_NL_28C_O2",205.592041069519,0.0554405194805196,28.0105
"846","G7_NL_30C_O2",191.943372598546,0.0487208850850642,30.2590285714286
"847","G7_NL_32C_O2",175.152840134953,0.0361738326585695,31.8785882352941
"848","G7_NL_34C_O2",149.291156916823,0.0125735709818636,34.0720909090909
"849","G7_NL_36C_O2",136.636140755337,-0.00554174055829231,35.9687636363636
"850","G7_NL_39C_O2",104.528206070792,-0.0323344130379425,38.9061891891892
"851","G7_NL_42C_O2",113.835639326365,-0.0386182462253195,41.9477692307692
"852","G7Blank_AD_16C_O2",235.626270445061,0.000264245040600309,16.2095272727273
"853","G7Blank_AD_20C_O2",219.065388343904,4.10429880197213e-05,20.01
"854","G7Blank_AD_22C_O2",222.943262929553,-0.00047782014867804,22.0730393700787
"855","G7Blank_AD_24C_O2",223.105661202725,-0.00114069532534653,24.0973269230769
"856","G7Blank_AD_26C_O2",219.527401235878,-0.00252562222650979,26.0225952380952
"857","G7Blank_AD_28C_O2",216.187275434647,-0.00277224515322089,28.0836296296296
"858","G7Blank_AD_30C_O2",209.24871627907,-0.00613931339977848,30.2540909090909
"859","G7Blank_AD_32C_O2",199.845738286621,-0.00588529878371226,31.8789315068493
"860","G7Blank_AD_34C_O2",178.980765356152,-0.00984919056429229,34.1323214285714
"861","G7Blank_AD_36C_O2",163.805813626374,-0.0147015384615388,35.7264
"862","G7Blank_AD_39C_O2",149.79785949815,-0.0150840612592172,38.9173148148148
"863","G7Blank_AD_42C_O2",125.384416216385,-0.0132130268918074,42.1558644067797
"864","G8_AD_16C_O2",243.269057395047,-0.00952527993580634,16.1263818181818
"865","G8_AD_20C_O2",226.429695346939,-0.0151144285714286,19.8014827586207
"866","G8_AD_22C_O2",229.010801393454,-0.017288067043293,21.9391338582677
"867","G8_AD_24C_O2",226.606020420968,-0.0181549707883154,23.9799814814815
"868","G8_AD_26C_O2",223.887749590509,-0.0196101478620881,25.8900864197531
"869","G8_AD_28C_O2",222.356107447836,-0.0223834885394181,27.8519814814815
"870","G8_AD_30C_O2",209.167290532213,-0.0227053221288516,30.1135636363636
"871","G8_AD_32C_O2",199.574876026273,-0.0277634819808142,31.8332876712329
"872","G8_AD_34C_O2",176.174225905344,-0.0308862183939983,34.0360210526316
"873","G8_AD_36C_O2",164.391444037444,-0.0327387057387057,35.8083
"874","G8_AD_39C_O2",132.931313986014,-0.0342289044289046,38.6244705882353
"875","G8_AD_42C_O2",121.537517597841,-0.0304436437246964,42.2429661016949
"876","G8_AL_16C_O2",323.800326699995,0.0512161156802665,15.9318088235294
"877","G8_AL_20C_O2",243.335992195122,0.0626907317073171,19.9187678571429
"878","G8_AL_22C_O2",247.826411807997,0.0590626292527496,21.9959464285714
"879","G8_AL_24C_O2",245.895165584744,0.0617040961065277,24.08644
"880","G8_AL_26C_O2",236.678255704949,0.0565745471521942,26.067
"881","G8_AL_28C_O2",227.108291006879,0.0593605878674172,27.8114897959184
"882","G8_AL_30C_O2",231.385341199873,0.0478892901452931,29.8596962025316
